192.168.1.104, 2013-10-29 18:40:48, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.047000
192.168.1.104, 2013-10-29 18:40:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:40:51, POST, /admin/default/index, HTTP/1.1, 303, 0.200000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/default/site, HTTP/1.1, 200, 0.326000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 304, 0.001000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 304, 0.003000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 304, 0.002000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.004000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.004000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.006000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.126000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.127000
192.168.1.104, 2013-10-29 18:40:52, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.065000
192.168.1.104, 2013-10-29 18:40:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:40:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 18:40:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:41:03, POST, /admin/default/check_version, HTTP/1.1, 200, 11.337000
192.168.1.104, 2013-10-29 18:41:48, POST, /admin/default/site, HTTP/1.1, 303, 0.482000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/default/design/PictureShop, HTTP/1.1, 200, 0.500000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 304, 0.001000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 304, 0.001000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 304, 0.001000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.003000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.009000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.002000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.017000
192.168.1.104, 2013-10-29 18:41:48, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.030000
192.168.1.104, 2013-10-29 18:41:49, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
192.168.1.104, 2013-10-29 18:41:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:41:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/default/edit/PictureShop/controllers/default.py, HTTP/1.1, 200, 0.247000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.077000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.164000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.207000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.222000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.236000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.258000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.177000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.071000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.046000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.084000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.103000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.137000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.157000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.062000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.075000
192.168.1.104, 2013-10-29 18:48:37, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.074000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.337000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.303000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.054000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.099000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.141000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.146000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.035000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.041000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/js/typeahead.min.js, HTTP/1.1, 200, 0.028000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/css/web2py-codemirror.css, HTTP/1.1, 200, 0.042000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.048000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/images/files_toggle.png, HTTP/1.1, 200, 0.025000
192.168.1.104, 2013-10-29 18:48:38, GET, /admin/static/_2.7.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.088000
192.168.1.104, 2013-10-29 18:48:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:48:39, GET, /admin/default/edit/PictureShop/controllers/default.py, HTTP/1.1, 200, 0.570000
192.168.1.104, 2013-10-29 18:48:39, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.015000
192.168.1.104, 2013-10-29 18:48:39, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.262000
192.168.1.104, 2013-10-29 18:53:17, POST, /admin/default/edit/PictureShop/controllers/default.py, HTTP/1.1, 200, 0.167000
192.168.1.104, 2013-10-29 18:53:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 18:57:13, GET, /admin/mercurial/commit/PictureShop, HTTP/1.1, 303, 0.134000
192.168.1.104, 2013-10-29 18:57:13, GET, /admin/default/design/PictureShop, HTTP/1.1, 200, 0.182000
192.168.1.104, 2013-10-29 18:57:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:58:29, GET, /admin/default/site, HTTP/1.1, 200, 0.107000
192.168.1.104, 2013-10-29 18:58:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:58:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:58:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 18:58:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:58:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:58:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/default/index, HTTP/1.1, 200, 2.851000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/js/jquery.js, HTTP/1.1, 200, 0.003000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/js/calendar.js, HTTP/1.1, 200, 0.002000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.024000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/js/web2py.js, HTTP/1.1, 200, 0.033000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/css/web2py.css, HTTP/1.1, 200, 0.040000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/css/calendar.css, HTTP/1.1, 200, 0.029000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.033000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.035000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.013000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/js/share.js, HTTP/1.1, 200, 0.004000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/images/twitter.png, HTTP/1.1, 200, 0.003000
